Arabic Name,English Name
دياموكس,DIAMOX VIALS 500 MG
دلاسين - تي,DALACIN T TOPICAL SOLN 1%
ديباكين,DEPAKINE 200MG-ML SOLU.
ديبو بروفيرا,DEPO-PROVERA VIAL I-M 150MG-ML
ديبو ميدرول,DEPO MEDROL VIAL 40MG-ML SAS
دلاسين,DALACIN VAGINAL CREAM 2%
ديباكين,DEPAKINE 57.64MG-ML SYRUP
دباكين,DEPAKINE 200MG TABS
دباكين,DEPAKINE 500MG TABS
دياموكس اقراص,DIAMOX TAB 125MG
دوبيوتريكس,DOBUTREX 250 MG VIAL
دينتوينا,DINTOINA TAB 100MG
ديتيسين,DETICENE 100MG I.V VIAL+SOLV 10ML AMP
ديتيسين,DETICENE 200MG I.V VIAL
ديلاتريند,DILATREND 25MG TABLET
ديلاتريند اقراص,DILATREND 6.25 MG TABLET
ديوفان,DIOVAN 40MG F.C. TABLETS
ديوفان,DIOVAN 80MG TAB
دواء ستراتيرا,STRATTERA 40MG CAPSULES
دوسباتالين,DUSPATALIN 135MGTAB
ديسباميت,DYSPAMET SUSP 200MG-5ML
دوفاستون,DUPHASTON 10 MG TAB
دايلانيل,DILANYL SYRUP
دولوراز,DOLORAZ 100MG-5ML SUSPENSION
درولات,DROLATE 70 MG FILM COATED TABLETS
ديكونجيستيل,DECONGESTYL
داونيل,Daonil
دانول,Danol
دومبي,Dompy
دوبامين هيدروكلوريد,Dopamine HCL
دوكسين,Doxine
دوكسيدار,Doxydar
دوكسيسين,Doxycin
درامامين,Dramamine
دينتينوكس,Dentinox
ديكسازون,Dexasone
ديابينيز,Diabinese
دوفلاك,Duphalac
ديروكسات,deroxat
دبنزلين,DibenzyLine
ديابين,Diaben
دوزيل,DOZYL
ديتروبان,Ditropan
ديسيريل,Desyrel
دوكسيرجان,Doxergan
ديرماكول,Dermacol
دولوفين,Dolophine
ديستيلبين,Distilbene
ديابيتا,Diabeta
ديبونيت,Deponit
دانوكرين,Danocrine
ديجيتك,Digitek
درمينات,Driminate
ديلسيم,Delsym
ديوريل,Diuril
ديمور,Dimor
ديازولين,Diazolin
ديناسين,Dynacin
ديبين,Depen
دارفون,Darvon
دولوزال,Dolosal
دينزابين,Denzapine
دورميكس,Dormex
ديترول,Detrol
ديبينت,Dibent
دروكسيا,Droxia
ديسوين,Desowen
ديلونيد,Delonide
ديسيتين,DESITIN®
ديكادرون,DECADRON
دواء الأنسولين,دواء الأنسولين
دانازول,دانازول
دومبيريدون,دومبيريدون
دوكسازوسين,دوكسازوسين
دوكسيسايكلين,دوكسيسايكلين
دُوكسِيبِين,دُوكسِيبِين
دِيازيبام,دِيازيبام
ديجوكْسين,ديجوكْسين
ديسوبيراميد,ديسوبيراميد
دِيلتِيازِيم,دِيلتِيازِيم
ديمينهيدرينات,ديمينهيدرينات
ديبيرون,ديبيرون
ديبيريدامول,ديبيريدامول
دايفينهيدرامين,دايفينهيدرامين
ديفينوكسيلات,ديفينوكسيلات
ديكْلوفيناك,ديكْلوفيناك
ديثرانول,ديثرانول
ديكساميثازون,ديكساميثازون
ديكستروميثورفان,ديكستروميثورفان
ديكسكلورفينيرامين,ديكسكلورفينيرامين
ديدانوزين,ديدانوزين
دونيبيزيل,دونيبيزيل
دوسيتاكسِل,دوسيتاكسِل
دوتاستيريد,دوتاستيريد
ديسلوراتادين,ديسلوراتادين
دولوكستين,دولوكستين
داكاربازين,داكاربازين
داربيبوئيتين ألفا,داربيبوئيتين ألفا
دوكسوروبيسين,دوكسوروبيسين
دروسبيرينون,دروسبيرينون
ديفلوكورتولون,ديفلوكورتولون
ديزوغيسترِل,ديزوغيسترِل
ديدروجسترون,ديدروجسترون
ديكْسبانْثينول,ديكْسبانْثينول
دياسيرين,دياسيرين
دورزولاميد,دورزولاميد
ديسيكلومين,ديسيكلومين
دابسون,دابسون
دارونافير,دارونافير
ديسموبريسين,ديسموبريسين
داساتينيب,داساتينيب
دِيسِيبرامِين,دِيسِيبرامِين
ديزونيد,ديزونيد
ديكسرازوكسان,ديكسرازوكسان
ديفيراسيروكس,ديفيراسيروكس
دوبوتامين,دوبوتامين
دوكسيلامين,دوكسيلامين
درونيدارون,درونيدارون
ديفيريبرون,ديفيريبرون
ريبافين,RIBAVIN 200 MG CAPSULES
ريزوشين,RESOCHIN TAB 250MG
ريستامين,RESTAMINE 5 MG -5 ML SYRUP
ريستامين اقراص,RESTAMINE 10 MG TABLET
ريثينيت,RYTHINATE SUSP. 200MG-5ML
ريفانين,REVANIN SUSP 125MG-5ML
ريفانين,REVANIN 125MG SUPP FOR INFANTS
ريفاكود,REVACOD
روكسيسيف,ROXCEF 1GM I.V INJECTION
روليد,RULID 150MG TAB
ريتن أ,RETIN-A CREAM 0.05%
ريمينيل,REMINYL 12MG TABLET
ريمينيل اقراص,REMINYL 4MG TABLET
ريمنيل,REMINYL 8MG TABLET
ريمينيل 4,REMINYL 4 MG - ML ORAL SOLUTION
ريسبيردال,RISPERDAL 1MG-ML SOLUTION
ريسبردال,RISPERDAL CONSTA 25MG I.M VIAL
ريسبردال كونستا,RISPERDAL CONSTA 37.5 MG I.M VIAL
رزبريدال,RISPERDAL CONSTA 50MG I.M VIAL
ريسبردال,RISPERDAL 2MG TAB
روتاتك,ROTATEQ ORAL VACCINE
ريزولف,RESOLVE TINEA 2%CREAM
رينيتك,RENITEC
ريجلون,REGULON
ريناجيل,RENAGEL 800MG F.C.TABLET
ريسيك,RISEK 10MG CAP
ريسيك,RISEK 20 MG CAPS
ريليستات,RELESTAT 0.05% EYE DROPS
رانتاج,RANTAG 150MG TAB
ريكوسيف,RECOCEF 250MG CAP
ريكوسيف كبسولات,RECOCEF 500MG CAP
روثاسين كبسولات,ROTHACIN CAPS 25 MG
ريلينزا,RELENZA 5MG POWDER FOR INHALATION
ريكوسيف,RECOCEF 125 MG-5ML ORAL SUSPENSION
ريكوسيف,RECOCEF 250 MG-5ML ORAL SUSPENSION
روثاسين,ROTHACIN 100MG SUPPOSITORIES
روماك,ROMAC 150MG F.C. TABLETS
روماك اقراص,ROMAC 300MG F.C. TABLETS
رازون,RAZON 20 MG E.C. TABLET
رانيدين,RANIDINE 300 MG TAB
ريسيدون,RISIDONE 1MG/1ML ORAL SOLUTION
ريناتيول,RHINATHIOL CAPS 375MG
ريفادين,RIFADIN CAP 150 MG
ريفادين,RIFADIN CAP 300 MG
ريماكتان,RIMACTANE 150 MG CAP.
ريماكتين,RIMACTANE 300 MG CAP.
ريتاربن,RETARPEN 1.2MEGA U.WITH SOLVENT
ريتاربن,RETARPEN 2.4MEGA U. VIAL+SOLVENT
ريتاربن,RETARPEN 600000U+ SOLVENT VIAL
ريميكاد,REMICADE 100MG VIAL FOR INJ
ريناتيول,RHINATHIOL PLUS
ريناثيول,RHINATHIOL SYRUP 20MG-ML CHILDREN
ريناتيول,RHINATHIOL SYRUP ADULT 5OMG-ML
ريفيناه,RIFINAH TAB 150MG
ريماكتازيد,RIMACTAZID 300MG TAB.
ريلباكس,RELPAX 20MG TABLET
راينوفد,RINOFED EXPECTORANT SYRUP 100 ML
راينوفد شراب,RINOFED PLUS SYRUP
راينوفيد,RINOFED SYRUP
راينوفد بلس,RINOFED PLUS TAB
ريابروفين اف ام,RIAPROFEN FM
رهينوفرين,RHINOFRIN
ريالاك,RIALAC LIQUID
رياكسين,RIAXINE
ريابروفين,RIAPROFEN
ريافيرين,RIAVIRIN
رياتيبفين,RIATEBIFINE
ريانست,RIANEST
رياتيبيفين,RIATEBIFINE 1% TOPICAL SOLUTION
رياكول,RIACHOL EYE OINT.1%
ريازولين,RIAZOLIN
رياكيتاميد,RIACETAMIDE
رياسيتاميد,RIACETAMIDE -20
رياكول قطرة عيون,RIACHOL 0.5% EYE DROP
رياكول,RIACHOL 5% EAR DROPS
ريالول,RIALOL
رياتروبين,RIATROPINE 0.5%
رياتروبين 1%,RIATROPINE 1%
رياسيرتال,RIASERTAL
رياض فورمين,RIYADHFORMIN
رياكافيلول,RIACAVILOL 12.5 MG TAB
رياكافيلول اقراص,RIACAVILOL 25MG TABLET
رياسافيلول,RIACAVILOL 6.25 MG TABLET
ريفامبيسين,RIAFAMPICIN
روكساميد,ROXAMED
ريميرون,REMERON 30MG TAB
راباميون,RAPAMUNE 1 MG COATED TABLETS
ريجين,REGAINE 5% TOPICAL SOLUTION
روجين,REGAINE TOPICAL SOLN 2%
روجين,REGAINE TOPICAL GEL 2%
راملاك,RAMLAC 67GM-100ML SYRUP
ريني,RENNIE TAB
ريفوتريل,RIVOTRIL AMP 1MG+SOLV 1ML
ريفوتريل,RIVOTRIL TAB 0.5MG
ريفوتريل,RIVOTRIL TAB 2 MG
رينوكورت,RHINOCORT AQUA 64MCG NASAL SPRAY
رينوكورت,RHINOCORT AQUA NASAL SPRAY WITH PUMP
رينوكورت,RHINOCORT NASAL AEROSOL 50MCG-DOSE
روتا ريكس,ROTARIX ORAL VACCINE
روفيرون ا,ROFERON-A 3MIU-0.5 ML
روفيرون اي,ROFERON-A 4.5MIU-0.5ML
روفيرون الف,ROFERON-A 9MIU-0.5ML
روفرون ا,ROFERON-A 18MN.IU VIAL
ريتالين,RITALIN TAB. 10MG
ريكورمون,RECORMON PFS 20000IU-0.6ML SOLU. FOR INJ
ريكورمون بي اف اس,RECORMON PFS 30000IU-0.6ML SOLU. FOR INJ
ريكورمون,RECORMON PFS 3000IU-0.3ML SOLU. FOR INJ
ريكورمون حقن,RECORMON PFS 6000IU-0.3ML SOLU. FOR INJ
ريفاسين,RIFACIN 300 MG CAPS
ريبيف,REBIF 22 MCG PRE-FILLED SYRINGE
ربيف,REBIF 44 MCG PRE-FILLED SYRINGE
ريكويب,REQUIP 1MG TAB
ريكيوب,REQUIP 2MG TAB
ريكويب اقراص,REQUIP 5MG TAB
ريكويب,REQUIP0.25MG TAB
ريدون,RIDON 1 MG FILM COATED TABLETS
ريدون,RIDON 6 MG FILM COATED TABLETS
ريمينيل 8,REMINYL 8 MG PROLONGED RELEASE CAPSULE
ريمينيل كبسولات,REMINYL 16 MG PROLONGED RELEASE CAPSULE
ريمانيل,REMINYL 24 MG PROLONGED RELEASE CAPSULE
راسيليز,RASILEZ HCT 150/25MG FILM COATED TABLET
راسيلز,RASILEZ HCT 300/25MG FILM COATED TABLET
راسيليز اتش سي ال,RASILEZ HCT 300/12.5MG FILM COATED TABLET
راميبريل,RAMIPRIL HEXAL 2.5MG FILM COATED TABLETS
راميبريل هيكسال,RAMIPRIL HEXAL 5MG FILM COATED TABLETS
راميبريل هيكسال,RAMIPRIL HEXAL 10MG FILM COATED TABLETS
رادورا,Ridaura
روفيناك,Rofenac
ريتروفير,Retrovir
رواسا,Rowasa
ريتمونورم,Rytmonorm
ريداكت,Redact
ريلافين,Relafen
رابتيفا,Raptiva
ريلوتيك,Rilutek
ريفيا,Revia
ريفليميد,Revlimid
ريمودولين,Remodulin
ريجرانيكس,Regranex
رياتاز,Reyataz
روهيبنول,Rohypnol
روبيتوسين,Robitussin
ريزين,Rezine
ريجونول,Regonol
رينديكون,Rhindecon
ريثمول,Rythmol
ريفاتيو,Revatio
روكسيكودون,Roxicodone
ريتوكسان,Rituxan
رازادين,Razadyne
ريغورين,Regurin
رينفيلا,Renvela
رانيتيدين,رانيتيدين
روكسيثرومايسين,روكسيثرومايسين
ريتودرين,ريتودرين
ريسبيريدون,ريسبيريدون
ريفامبيسين,ريفامبيسين
روفيكوكسيب,روفيكوكسيب
ريتونافير,ريتونافير
روزيغليتازون,روزيغليتازون
ريبوكستين,ريبوكستين
ريزاتريبتان,ريزاتريبتان
راميبريل,راميبريل
ريباغلينيد,ريباغلينيد
رالوكسيفين,رالوكسيفين
ريسيدرونات,ريسيدرونات
ريفاستيجمين,ريفاستيجمين
روزوفاستاتين,روزوفاستاتين
روبينيرول,روبينيرول
ريلوزول,ريلوزول
ريتوكسيماب,ريتوكسيماب
ريبافيرين,ريبافيرين
ريمونابانت,ريمونابانت
رسيجيلين,رسيجيلين
رانيبيزوماب,رانيبيزوماب
رالتيجرافير,رالتيجرافير
ريفاروكسابان,ريفاروكسابان
ريفابوتين,ريفابوتين
زوسين كبسولات,ZOCIN 250MG CAPSULE
زيميترون,ZEMITRON 4MG F-C TABLET
زيميترون اقراص,ZEMITRON 8MG F-C TABLET
زوسين,ZOCIN 200MG-5ML POW. FOR ORAL SUSPENSION
زيروكس اقراص,ZEROX 500MG F.C. TABLETS
زيروكس,ZEROX 200MG-5ML POWDER FOR ORAL SUSP.
زوفران ميلت,ZOFRAN MELT 4MG ORAL LYOPHILISATE TABLET
زوفران ملت,ZOFRAN MELT 8MG ORAL LYOPHILISATE TABLET
زيثروماكس كبسولات,ZITHROMAX 250MG CAPS
زاميول,XAMIOL GEL
زيثروماكس,ZITHROMAX 200MG-5ML SUSP.AFTER RECONSTIT
زيثرو ماكس,ZITHROMAX SD 2GM POWDER FOR SUSPENSION
زيستوريتك,ZESTORETIC 20 TAB
زيستريل,ZESTRIL 10MG TAB
زيستريل اقراص,ZESTRIL 20MG TAB
زيستريل,ZESTRIL 5MG TAB
زوكور,ZOCOR 10MG TAB
زوكور,ZOCOR 20MG TAB
زوكور,ZOCOR 40MG TAB
زالديار,ZALDIAR 37.5-325MG F-C TABLETS
زانتاك,ZANTAC
زانتاك,ZANTAC EFFERVESCENT TAB
زينات,ZINNAT
زيلولين,XYLOLIN 0.1% ADULT NASAL SPRAY
زيناسيف,ZINACEF
زيمار,ZYMAR 0.3% OPHTHALMIC SOLUTION
زفران,ZOFRAN
زوفيراكس,ZOVIRAX
زيلوريك,ZYLORIC
زيبان,ZYBAN 150MG TABLET
زفيكس,ZEFFIX
زياجين 300,ZIAGEN 300MG TAB
زينوفيت,ZYNOVATE 0.1% CREAM
زوريل,ZORIL 10MG FILM COATED TABLETS
زوريل 20MG,ZORIL 20MG FILM COATED TABLETS
زوريل,ZORIL 5MG FILM COATED TABLETS
زيفو 8,XEFO 8MG POWDER FOR INJECTION
زيفو,XEFO 8MG TAB
زايداك,ZYDAC 150MG TABLET
زولا,XOLA OPTHALMIC SOLUTION
زوتريم,ZOTRIM SUSP.
زوتريم فورت,ZOTRIM FORTE TAB.
زولبجن,ZOLPIGEN
زيرتازين,ZERTAZINE
زيلومت,XYLOMET
زيلوميت بايد,XYLOMET PAED
زيلو ميفا,XYLO-MEPHA 0.05% NASAL SPRAY
زيبركسا,ZYPREXA 10MG POWDER FOR INJECTION
زالاتان,XALATAN 50MCG\ML EYE DROP
زاناكس,XANAX 1MG TAB
زوفران,ZOFRAN
زوفران حقن,ZOFRAN 2MG\ML INJECTION
زيبريكسا,ZYPREXA 10MG F.C.TAB
زوميدور,ZOMIDOR 2% EYE DROPS
زينيكال,XENICAL 120MG CAPSULE
زيفكس,ZEFFIX 5MG\ML ORAL SOLUTION
زياجين,ZIAGEN 20MG\ML ORAL SOLUTION
زوفيراكس,ZOVIRAX 250MG IV INFUSION
زيلودا,XELODA 500MG TABLET
زوميتا,ZOMETA 4MG VIAL\5ML
زولير,XOLAIR 150MG POWDER FOR INJECTION
زاديتين,ZADITEN SYRUP 1MG-5ML
زيماكس,ZIMAX 250MG CAP.
زيماكس,ZIMAX 500MG F.C. TABLETS
زايبركسا,ZYPREXA 5MG COATED TABLETS
زيماكس,ZIMAX 200MG\5ML SUSP
زيترون,ZETRON 250 MG CAPSULE
زيتا,ZETA 20MG-GM CREAM
زيترون,ZETRON 200MG\5ML POWDER FOR SUSP
زيماكس,ZIMAX 250MG F.C. TABLETS
زيرتك,ZYRTEC 0.1% ORAL SOLN.
زيراكتان,XERACTAN 10 MG SOFT GELATIN CAPSULE
زيركتان,XERACTAN 20 MG SOFT GELATIN CAPSULE
زيبادهيرا,ZYPADHERA 210MG POWDER FOR SOLUTION FOR I.M. INJECTION
زبادهيرا,ZYPADHERA 300MG POWDER FOR SOLUTION FOR I.M. INJECTION
زيبادهيرا حقن,ZYPADHERA 405MG POWDER FOR SOLUTION FOR I.M. INJECTION
زيثروماكس,ZITHROMAX 500 MG POWDER FOR IV INFUSION
زيلاكس,ZELAX 20MG FILM COATED CAPLET
زيلاكس,ZELAX 10MG FILM COATED CAPLET
زولادكس,Zoladex
زيميز,Zymase
زوميج,Zomig
زيلنورم,Zelnorm
زلماك,Zelmac
زيلدوكس,Zeldox
زيفوكس,Zyvox
زيمولتي,Zimulti
زيمبلار,ZempLar
زيتانيكس,Zytanix
زينيكارد,Zinecard
زارونتين,Zarontin
زيبسور,Zipsor
زابونيكس,Zaponex
زيلابار,Zelapar
زيبيتا,Zebeta
زيتيا,Zetia
زولبيمست,Zolpimist
زوليستان,Zolistan
زينازين,Xenazine
زيكلارا,Zyclara
زانتريل,Zantryl
زورتريس,Zortress
زينوس,Zenos
زيدوفودين,زيدوفودين
زاناميفير,زاناميفير
زولميتريبتان,زولميتريبتان
زوبيكلون,زوبيكلون
زولبيديم,زولبيديم
زيبراسيدون,زيبراسيدون
زيلوميتازولين,زيلوميتازولين
زافيرْلوكاست,زافيرْلوكاست
زوكلوبينثيكسول,زوكلوبينثيكسول
سالازوبايرين,SALAZOPYRIN-EN TAB 500MG
سيبروباي,CIPROBAY 750MG TAB
سينمينت,SINEMENT 25-250MG TABLETS
ستيوس,CITIUS TAB 200MG
سوبراكس,SUPRAX 200 CAPS
سوبراكس 400,SUPRAX 400 CAPS
سيبرولون,CIPROLON 250MG F.C. TABLETS
سيبرولون,CIPROLON 500MG F.C. TABLETS
سيبرولون,CIPROLON 750MG F.C. TABLETS
سولوتك,SOLOTIK 100MG F-C TABLETS
سولوتيك,SOLOTIK 50MG F-C TABLETS
سوبراكس 100,SUPRAX 100 SUSP
سيكلوجست,CYCLOGEST 200MG PESSARIES
سيفاميزين,CEFAMEZIN 1GM VIAL I.V
سيفاميزين,CEFAMEZIN 250MG INJ IM-IV
سيفاميزين,CEFAMEZIN 500MG INJ IM-IV
سالامول,SALAMOL CFC-FREE 100MCG INHALER
سالامول,SALAMOL EASI-BREATH CFC-FREE 100MCG
ساميكسون,SAMIXON 1GM VIAL
سيبرولون,CIPROLON 200 VIAL 100ML
سباسموبان,SPASMOPAN 20MG AMP
سباسموبان,SPASMOPAN 10MG TAB
سوبراكس,SUPRAX D 400MG TABLET
سيلست,CILEST TAB
سيفامول,CEVAMOL 400 - 250MG EFFERVESCENT TAB
سيلسن,SELSUN SHAMPOO
سيلوكسان,CILOXAN 0.3% EYE DROPS
سيناجيس,SYNAGIS 100MG\ML I.M VIAL
ستريبتاز,STREPTAS 250000I.U VIAL
ستريبتاس,STREPTAS 750000I.U VIAL
سباسميكس,SPASMEX 30MG FILM COATED TABLET
سولبادين,SOLPADEINE SOLUBLE TAB
سينجولير,SINGULAIR
سيتافليكس,CETAVLEX CREAM 0.5%W-W
سيداكرون,SEDACORON 150 MG- 3ML AMPOULES
سيروكويل,SEROQUEL 300MG F-C TABS
سيسبالتين,CISPLATIN 0.5MG-ML INJ.
سيداكورون,SEDACORON 200MG TAB
سيروكويل,SEROQUEL STARTER PACK 10 TABLETS
سيروكويل,SEROQUEL 100 MG TAB
سوركويل,SEROQUEL 25 MG TAB
سيليبركس,CELEBREX
سيريتايد,SERETIDE DISKUS 50\100MCG
سيريتايد ديسكيس,SERETIDE DISKUS 50\250 MCG
سيريتايد ديسكوس,SERETIDE DISKUS 50\500 MCG
سيبوركس,CEPOREX DROPS 125MG-1.25ML
سيريتايد,SERETIDE EVOHALER
سيريتايد,SERETIDE EVOHALER
سالينال,SALINAL 42MG CHEWABLE TAB
سالينال,SALINAL 41.2MG-ML ORAL DROPS
سيترالون,CETRALON 5MG-5ML SYRUP
سوفلاكس,SOFLAX SOLUTION
سولان,SOOLAN SYRUP 100 ML
سيترالون,CETRALON 10 MG TAB
سيفرن,CEFRIN 250MG CAPS
سبيريفا,SPIRIVA 18MCG HARD CAPSULE
سالورين,SALURIN 20MG-2ML AMPOULES
سكوبينال,SCOPINAL 20MG AMPOULE
سيتروتايد,CETROTIDE 0.25MG POW. FOR SOLU. FOR INJ.
ستروتيد,CETROTIDE 3MG POW. FOR SOLU. FOR INJ.
ساروتين,SAROTEN RETARD 25MG CAPS
ساروتين ريتارد,SAROTEN RETARD 50MG CAPS
سكوبينال,SCOPINAL 5MG-5ML SYRUP
سبراليكس,CIPRALEX 10 MG F.C. TABLETS
سالورين,SALURIN 5MG-5ML SYRUP
سيفوزيم,CEFUZIME 500 MG TAB
سيبرالكس,CIPRALEX 20MG F.C. TABLETS
سبرام,CIPRAM 20MG TAB
سالورين,SALURIN 40 MG TABLETS
سارف,SARF 750MG TAB.
سكوبينال,SCOPINAL TAB 10MG
سيفرول,SIFROL 0.088 MG (EQU.0.125MG) TAB
سيفرول اقراص,SIFROL 0.7MG (EQU. 1.00MG) TAB
سيمفاست,SIMVAST
سيمفاست,SIMVAST 10MG TAB
سيمفاست,SIMVAST 40 MG TABLETS
سيترال,SETRAL 100MG F.C. TABLETS
سيترال,SETRAL 50MG F.C. TABLETS
سباسمونور,SPASMONORE SUPP.ADULT
سباسمونور,SPASMONORE SUPP.CHILD 7.5MG
سيناكتين,SYNACTHEN DEPOT
ستيلنوكس,STILNOX 10MG F-C TABS
سيبروكين,CIPROQUIN
سيتالوبرام هيكسال,CITALOPRAM HEXAL 20MG F.C. TABLETS
سيتالوبرام,CITALOPRAM HEXAL 40MG F.C. TABLETS
سيمفاهيكسيل,SIMVAHEXAL 10MG F.C. TABLETS
سيمفاهيكسيل,SIMVAHEXAL 20MG F.C. TABLETS
سيمفاهيكسال,SIMVAHEXAL 40MG F.C. TABLETS
سيسبلاتن,CISPLATIN 1MG-1ML VIAL
سابريـل,SABRIL 500MG F.C.TAB
ستانداسيلين,STANDACILLIN 1G VIAL WITH SOLVENT
ستانداسيلين,STANDACILLIN 500MG INJ WITH SOLVENT
سوربتيل,SUREPTIL 50MG TAB
ستاجيرون,STUGERON 25MG TAB
سباسموليت,SPASMOLYT 20 MG COATED TABLETS
سيمفا,SIMVA 10 MG COATED TABLET
سيليكتا,SELECTA 10MG F.C. TABLETS
سيليكتا,SELECTA 2.5MG F.C. TABLETS
سيليكتا,SELECTA 5MG F.C. TABLETS
سوريكور,SURECURE 0.1% TOPICAL GEL
سولفيكس,SOLVEX 4MG-5ML SYRUP
ستريم,SUTRIM
ساليباكس,SALIPAX 20
سيتالوجين,CITALOGEN
سيربار,CEREPAR
سبرايسل,SPRYCEL 20MG F.C. TABLETS
سبريسيل,SPRYCEL 50MG F.C. TABLETS
سبريسل,SPRYCEL 70MG F.C. TABLETS
سيكلوكابرون,CYKLOKAPRON INJ 100MG-ML 5ML
سميدين,CIMEDINE
سوستانون,SUSTANON 100 AMP
سوستانون,SUSTANON 250 AMP
سيرازيت,CERAZETTE 75MCG TAB
سيكلوفوسفاميد,CYCLOPHOSPHAMIDE 1000MG VIAL
سيكلوفوسفامد,CYCLOPHOSPHAMIDE 200MG VIAL
سوتينت,SUTENT 12.5 MG CAPSULE
سوتنت,SUTENT 25 MG CAPSULE
سوتنت كبسولات,SUTENT 50 MG CAPSULE
سيلزينتري,CELSENTRI 150MG F.C. TABLETS
سيلزنتري,CELSENTRI 300MG F.C. TABLETS
سولوميدرول,SOLU-MEDROL INJ. 500 MG.
سولو ميدرول,SOLU-MEDROL MOV 40 MG INJ.
سولوميدرول,SOLU-MEDROL. INJ. 1000 MG.
سبازموتالين,SPASMOTALIN 100MG TAB
سيمبالتا,CYMBALTA 30MG HARD GASTRO-RESISTANT CAP
سمبيكورت,SYMBICORT TURBUHALER
سيسبالتيل,CISPLATYL 10MG VIAL
سيسبلاتل,CISPLATYL 25MG VIAL
سيسبلاتيل,CISPLATYL 50MG VIAL
سلسبت,CELLCEPT 250 MG CAPS
سبترين,SEPTRIN INJECTION
سيرفاريكس,CERVARIX VACCINE
سيالس,CIALIS 20MG TAB
سيلسيبت,CELLCEPT 500MG TAB
سينجولير,SINGULAIR PEDIATRIC 4MG GRANULES
سبيرساليرج,SPERSALLERG EYE DROPS
سانديميون,SANDIMMUN NEORAL 100MG CAPS
سانديميون نيورال,SANDIMMUN NEORAL 25MG CAPS
سانديميون نيورال,SANDIMMUN NEORAL 50MG CAP
سبيرسادكس,SPERSADEX COMP. 0.1%+0.5% EYE DROPS
سيباسين,CIBACEN 10MG F.C.TAB
سيباسين اقراص,CIBACEN 5MG F.C.TAB
سيبيفو,SEBIVO 600 MG F-C TABLETS
سانديميون,SANDIMMUN 50MG-ML AMPULE
سانديميون,SANDIMMUN CONC.FOR INFUSIN 250MG-5ML
ساندوستاتين,SANDOSTATIN LAR 20MG VIAL
ساندوستاتين لار,SANDOSTATIN LAR 30MG VIAL
ساندوستاتين 0.05MG-ML,SANDOSTATIN 0.05MG-ML AMP
ساندوستاتين 0.1MG-ML,SANDOSTATIN 0.1MG-ML AMP
ساندوستاتن,SANDOSTATIN 0.2MG-ML 5ML AMP
سانديميون,SANDIMMUN NEORAL DRINK 100MG-ML
سيرتيكان,CERTICAN 0.1MG DISPERSIIBLE TABLETS
سيرتيكان 0.25MG,CERTICAN 0.25MG DISPERSIBLE TABLETS
سيرتيكان 0.5MG,CERTICAN 0.5MG TABLETS
سيرتيكان 0.75MG,CERTICAN 0.75MG TABLETS
ستاليفو,STALEVO 100-25-200MG FILM COATED TAB.
ستاليفو اقراص,STALEVO 150-37.5-200MG FILM COATED TAB.
ستاليفو 50-12.5-200MG,STALEVO 50-12.5-200MG FILM COATED TAB.
سيترو,CETRO 10MG F.C TAB
سابوفين جل,SAPOFEN 5 % GEL
سابوفين جونيور,SAPOFEN JUNIOR 100MG-5ML SUSPENSION
سابوفين اقراص,SAPOFEN 200MG F.C TAB
سابوفين كولد,SAPOFEN COLD & FLU TABLET
ستراتيرا,STRATTERA 10MG CAPSULES
ستيراتيرا,STRATTERA 25MG CAPSULES
سيمبرينا,SEMBRINA TABLETS 250 MG.
سبيروكتان,SPIROCTAN TAB 25MG
سورتيفا,SORTIVA H 100-25MG F.C. TABLETS
سورتيفا,SORTIVA H 50-12.5MG F.C. TABLETS
سورتيفا,SORTIVA 25 MG FILM COATED TABLETS
سورتيفا,SORTIVA 50 MG FILM COATED TABLETS
سورتيفا,SORTIVA FORTE 100MG F.C. TABLETS
سبيروكتان,SPIROCTAN TAB 50MG
سابوفين,SAPOFEN 600 MG TAB
سنافي,SNAFI 20MG TAB
ستاريل,STARIL 10MG TAB
ستاريل اقراص,STARIL 20MG TAB
سيناتين,SINATEN 100000 I.U VAGINAL TAB.
سولبادين كبسولات,SOLPADEINE CAPSULE
سيروكسات,SEROXAT TAB 20MG
ستيبروكس,STIEPROX 1.5% SHAMPOO
سلفارجين,SULPHARGIN
سينالاكس,SENNA LAX
ستاليفو,STALEVO 200-50-200MG FILM COATED TAB.
سليبركس كبسولات,CELEBREX 200MG CAPSULE
سيفراكس,CEFRAX 400MG CAPSULES
سابوفين بلس,SAPOFEN PLUS ORAL SUSPENSION
سيراكس,Serax
سيتوتاك,Cytotic
سوميناليتا,sominaletta
سوستيفا,Sustiva
ستوكرين,Stocrin
سوليد,sulide
سيرزون,Serzone
سيليرت,Cylert
سموديرم كريم,SMOODERM CREAM
سوبوتكس,Subutex
سيناريل,Synarel
سيكترال,Sectral
سيماب,Semap
سيتوفين,Cytovene
سوليان,Solian
سوبرفاكت,Suprefact
سومافيرت,Somavert
سيريزايم,Cerezyme
سيروميسين,Seromycin
سيردولكت,Serdolect
ساتيفكس,Sativex
سيريباكس,Serepax
سبورانوكس,Sporanox
سيميتريل,Symmetrel
سينتونال,Sintonal
سيبتوبال,Septopal
سيدوميسين,Cidomycin
سينيكوان,Sinequan
سيزين,Saizen
سولتاموكس,Soltamox
سيلداين,Seldane
سولودين,Solodyn
سولفتون,Solfoton
سترابريد,Sterapred
